,BHSsort,〔KJVverseID｜book｜chapter｜verse〕,BHSA,extendedStrongNumber,Root
185570,185571,〔9137｜11｜11｜28〕,<H>חָ֑יִל<h><H> <h>,2428,חול חיל
75054,75055,〔3932｜4｜7｜81〕,<H>אַ֧יִל<h><H> <h>,352,אול
58314,58315,〔3026｜3｜11｜28〕,<H>בְּגָדָ֖יו<h><H> <h>,899,בגד
347678,347679,〔16482｜20｜3｜26〕,<H>כִסְלֶ֑ךָ<h><H> <h>,3689,כסל
382037,382038,〔12230｜15｜8｜28〕,<H>קֹ֨דֶשׁ֙<h><H> <h>,6944,קדשׁ
260680,260681,〔20102｜24｜48｜21〕,<H>אֶ֣רֶץ<h><H> <h>,776,ארצ
382247,382248,〔12238｜15｜8｜36〕,<H>פַחֲוֹ֖ות<h><H> <h>,6346,
317362,317363,〔14556｜19｜41｜13〕,<H>אֱלֹ֘הֵ֤י<h><H> <h>,430,אול
298319,298320,〔22522｜31｜1｜11〕,<H>יֹ֛ום<h><H> <h>,3117,יומ
63438,63439,〔3256｜3｜18｜4〕,<H>חֻקֹּתַ֥י<h><H> <h>,2708,
65727,65728,〔3391｜3｜22｜21〕,<H>אִ֗ישׁ<h><H> <h>,376,אנשׁ
286347,286348,〔21538｜26｜41｜11〕,<H>רֹ֨חַב֙<h><H> <h>,7341,רחב
37692,37693,〔1963｜2｜16｜15〕,<H>מָ֣ן<h><H> <h>,4478,
286547,286548,〔21547｜26｜41｜20〕,<H>אָ֨רֶץ֙<h><H> <h>,776,ארצ
321422,321423,〔14918｜19｜68｜17〕,<H>קֹּֽדֶשׁ<h><H>׃ <h>,6944,קדשׁ
105014,105015,〔5460｜5｜21｜12〕,<H>תֹּ֣וךְ<h><H> <h>,8432,תוכ
34884,34885,〔1828｜2｜12｜11〕,<H>נַֽעֲלֵיכֶם֙<h><H> <h>,5275,נעל
325664,325665,〔15321｜19｜88｜12〕,<H>חֹ֣שֶׁךְ<h><H> <h>,2822,חשׁכ
269694,269695,〔20700｜26｜12｜19〕,<H>מֵֽימֵיהֶ֖ם<h><H> <h>,4325,
53434,53435,〔2793｜3｜3｜14〕,<H>קָרְבָּנֹ֔ו<h><H> <h>,7133,קרב
152239,152240,〔7682｜9｜18｜5〕,<H>אַנְשֵׁ֣י<h><H> <h>,582,אנשׁ
206463,206464,〔10022｜12｜17｜38〕,<H>אֱלֹהִ֥ים<h><H> <h>,430,אול
295066,295067,〔22347｜29｜3｜3〕,<H>יַּ֖יִן<h><H> <h>,3196,יינ
261542,261543,〔20150｜24｜49｜22〕,<H>כְּנָפָ֖יו<h><H> <h>,3671,כנפ
414826,414827,〔11538｜14｜17｜14〕,<H>פְקֻדָּתָ֖ם<h><H> <h>,6486,פקד
240351,240352,〔19230｜24｜11｜3〕,<H>אֱלֹהֵ֣י<h><H> <h>,430,אול
260885,260886,〔20115｜24｜48｜34〕,<H>מֵ֣י<h><H> <h>,4325,
8476,8477,〔460｜1｜19｜2〕,<H>רְחֹ֖וב<h><H> <h>,7339,רחב
365784,365785,〔12717｜17｜1｜14〕,<H>מַּלְכֽוּת<h><H>׃ <h>,4438,מלכ
328339,328340,〔15584｜19｜104｜12〕,<H>עֳ֝פָאיִ֗ם<h><H> <h>,6073,
2355,2356,〔123｜1｜5｜17〕,<H>יְמֵ֣י<h><H> <h>,3117,יומ
328632,328633,〔15614｜19｜105｜7〕,<H>אָ֗רֶץ<h><H> <h>,776,ארצ
421608,421609,〔11819｜14｜29｜27〕,<H>מֶֽלֶךְ<h><H>־<h>,4428,מלכ
224565,224566,〔18369｜23｜37｜16〕,<H>אָ֑רֶץ<h><H> <h>,776,ארצ
211147,211148,〔10216｜12｜24｜13〕,<H>זָּהָ֗ב<h><H> <h>,2091,זהב
129573,129574,〔6609｜7｜4｜9〕,<H>יַד<h><H>־<h>,3027,יוד
335733,335734,〔16372｜19｜147｜20〕,<H>מִשְׁפָּטִ֥ים<h><H> <h>,4941,שׁפט
102966,102967,〔5367｜5｜17｜2〕,<H>אִ֣ישׁ<h><H> <h>,376,אנשׁ
147329,147330,〔7466｜9｜12｜5〕,<H>עֵֽד<h><H>׃ פ <h>,5707,עוד
6519,6520,〔353｜1｜14｜16〕,<H>רְכֻשֹׁו֙<h><H> <h>,7399,רכשׁ
281357,281358,〔21308｜26｜33｜27〕,<H>חֶ֣רֶב<h><H> <h>,2719,חרב
376487,376488,〔22019｜27｜10｜3〕,<H>יַ֛יִן<h><H> <h>,3196,יינ
141589,141590,〔7216｜9｜1｜3〕,<H>יָּמִ֣ים<h><H>׀ <h>,3117,יומ
371718,371719,〔21813｜27｜3｜5〕,<H>מַלְכָּֽא<h><H>׃ <h>,4430,מלכ
241602,241603,〔19288｜24｜13｜21〕,<H>אֵ֥שֶׁת<h><H> <h>,802,אישׁ
93082,93083,〔4908｜5｜1｜15〕,<H>שִׁבְטֵיכֶ֗ם<h><H> <h>,7626,שׁבט
243323,243324,〔19370｜24｜17｜12〕,<H>מָרֹ֖ום<h><H> <h>,4791,רומ
281494,281495,〔21313｜26｜33｜32〕,<H>עֲגָבִ֔ים<h><H> <h>,5690,עגב
43282,43283,〔2271｜2｜26｜35〕,<H>ח֣וּץ<h><H> <h>,2351,חוצ
365507,365508,〔12706｜17｜1｜3〕,<H>פַּרְתְּמִ֛ים<h><H> <h>,6579,
138223,138224,〔6991｜7｜17｜10〕,<H>כֶּ֨סֶף֙<h><H> <h>,3701,כספ
269247,269248,〔20677｜26｜11｜21〕,<H>רֹאשָׁ֣ם<h><H> <h>,7218,ראשׁ
60586,60587,〔3128｜3｜14｜16〕,<H>שֶּׁ֕מֶן<h><H> <h>,8081,שׁמנ
33338,33339,〔1758｜2｜9｜15〕,<H>יָדִ֔י<h><H> <h>,3027,יוד
53866,53867,〔2812｜3｜4｜16〕,<H>פָּ֑ר<h><H> <h>,6499,
394754,394755,〔10525｜13｜6｜70〕,<H>מִגְרָשֶׁ֑יהָ<h><H> <h>,4054,גרשׁ
184896,184897,〔9105｜11｜10｜25〕,<H>שְׂלָמֹות֙<h><H> <h>,8008,
119357,119358,〔6105｜6｜10｜40〕,<H>אֲשֵׁדֹ֗ות<h><H> <h>,794,
306423,306424,〔22951｜38｜6｜3〕,<H>מֶּרְכָּבָ֥ה<h><H> <h>,4818,
688,689,〔33｜1｜2｜2〕,<H>יֹּ֣ום<h><H> <h>,3117,יומ
73245,73246,〔3818｜4｜5｜25〕,<H>יַּ֣ד<h><H> <h>,3027,יוד
301357,301358,〔22681｜33｜7｜16〕,<H>גֹויִם֙<h><H> <h>,1471,
344574,344575,〔13706｜18｜34｜22〕,<H>אָֽוֶן<h><H>׃ <h>,205,אינ
137743,137744,〔6973｜7｜16｜23〕,<H>סַרְנֵ֣י<h><H> <h>,5633,
49357,49358,〔2575｜2｜36｜8〕,<H>שֵׁ֣שׁ<h><H> <h>,8336,
66218,66219,〔3420｜3｜23｜17〕,<H>מֹּושְׁבֹ֨תֵיכֶ֜ם<h><H> <h>,4186,ישׁב
294523,294524,〔22321｜29｜2｜9〕,<H>גַּנָּֽב<h><H>׃ <h>,1590,גנב
335759,335760,〔16375｜19｜148｜3〕,<H>יָרֵ֑חַ<h><H> <h>,3394,
190400,190401,〔9346｜11｜18｜4〕,<H>מָֽיִם<h><H>׃ <h>,4325,
66176,66177,〔3417｜3｜23｜14〕,<H>חֻקַּ֤ת<h><H> <h>,2708,
271449,271450,〔20788｜26｜16｜25〕,<H>רֹ֣אשׁ<h><H> <h>,7218,ראשׁ
69900,69901,〔3628｜4｜1｜23〕,<H>אֶ֖לֶף<h><H> <h>,505,אלפ
184670,184671,〔9094｜11｜10｜14〕,<H>מֵאֹ֛ות<h><H> <h>,3967,
282520,282521,〔21364｜26｜36｜4〕,<H>גֹּויִ֖ם<h><H> <h>,1471,
346798,346799,〔13934｜18｜42｜11〕,<QR><H>אַחְיֹותָ֜יו<h><H> <h><qr>,269,
125477,125478,〔6436｜6｜22｜9〕,<H>אֲחֻזָּתָם֙<h><H> <h>,272,אחז
343266,343267,〔13576｜18｜30｜18〕,<H>כֹּ֖חַ<h><H> <h>,3581,
288673,288674,〔21640｜26｜45｜9〕,<H>מִשְׁפָּ֥ט<h><H> <h>,4941,שׁפט
276216,276217,〔21039｜26｜23｜31〕,<H>אֲחֹותֵ֖ךְ<h><H> <h>,269,
291485,291486,〔22124｜28｜2｜18〕,<H>מִלְחָמָה֙<h><H> <h>,4421,לחמ
144092,144093,〔7331｜9｜5｜11〕,<H>מְהֽוּמַת<h><H>־<h>,4103,הומ
206247,206248,〔10013｜12｜17｜29〕,<H>גֹּוי֙<h><H> <h>,1471,
70070,70071,〔3639｜4｜1｜34〕,<H>תֹּולְדֹתָ֥ם<h><H> <h>,8435,ילד
260071,260072,〔20067｜24｜46｜21〕,<H>פְּקֻדָּתָֽם<h><H>׃ <h>,6486,פקד
370182,370183,〔21743｜27｜1｜5〕,<H>מֶּ֜לֶךְ<h><H> <h>,4428,מלכ
158236,158237,〔7932｜9｜27｜1〕,<H>יָּדֹֽו<h><H>׃ <h>,3027,יוד
105643,105644,〔5490｜5｜22｜19〕,<H>יָמָֽיו<h><H>׃ ס <h>,3117,יומ
270331,270332,〔20731｜26｜13｜22〕,<H>דַּרְכֹּ֥ו<h><H> <h>,1870,דרכ
250536,250537,〔19686｜24｜30｜18〕,<H>תִּלָּ֔הּ<h><H> <h>,8510,
48859,48860,〔2554｜2｜35｜22〕,<H>אֲנָשִׁ֖ים<h><H> <h>,582,אנשׁ
292772,292773,〔22209｜28｜8｜14〕,<H>הֵֽיכָלֹ֔ות<h><H> <h>,1964,יכל
398498,398499,〔10763｜13｜13｜2〕,<H>כֹּהֲנִ֥ים<h><H> <h>,3548,כהנ
186934,186935,〔9191｜11｜13｜6〕,<H>אֱלֹהֶ֨יךָ֙<h><H> <h>,430,אול
322943,322944,〔15065｜19｜74｜16〕,<H>לָ֑יְלָה<h><H> <h>,3915,לול
174899,174900,〔8660｜10｜23｜6〕,<H>יָ֖ד<h><H> <h>,3027,יוד
387013,387014,〔12487｜16｜7｜66〕,<H>מֵאֹ֥ות<h><H> <h>,3967,
285201,285202,〔21488｜26｜40｜10〕,<H>מִדָּ֥ה<h><H> <h>,4060,
64623,64624,〔3331｜3｜20｜12〕,<H>אִ֗ישׁ<h><H> <h>,376,אנשׁ
180120,180121,〔8900｜11｜6｜3〕,<H>אוּלָ֗ם<h><H> <h>,197,אלמ
262858,262859,〔20220｜24｜51｜7〕,<H>גֹויִ֔ם<h><H> <h>,1471,
353741,353742,〔17118｜20｜25｜4〕,<H>סִיגִ֣ים<h><H> <h>,5509,סוג
381393,381394,〔12198｜15｜7｜24〕,<H>כָּהֲנַיָּ֣א<h><H> <h>,3549,
148273,148274,〔7508｜9｜13｜22〕,<H>יֹ֣ום<h><H> <h>,3117,יומ
130170,130171,〔6639｜7｜5｜15〕,<H>עֵ֖מֶק<h><H> <h>,6010,עמק
278259,278260,〔21151｜26｜27｜29〕,<H>אָ֖רֶץ<h><H> <h>,776,ארצ
152698,152699,〔7702｜9｜18｜25〕,<H>יַד<h><H>־<h>,3027,יוד
232171,232172,〔18800｜23｜58｜13〕,<H>חֲפָצֶ֖יךָ<h><H> <h>,2656,חפצ
343146,343147,〔13562｜18｜30｜4〕,<H>לַחְמָֽם<h><H>׃ <h>,3899,לחמ
411606,411607,〔11390｜14｜9｜25〕,<H>מַרְכָּבֹ֔ות<h><H> <h>,4818,
275353,275354,〔20988｜26｜22｜11〕,<H>תֹּֽועֵבָ֔ה<h><H> <h>,8441,תעב
185081,185082,〔9113｜11｜11｜4〕,<H>נָשָׁיו֙<h><H> <h>,802,אישׁ
72935,72936,〔3806｜4｜5｜13〕,<H>שִׁכְבַת<h><H>־<h>,7902,שׁכב
298700,298701,〔22539｜32｜1｜7〕,<H>גֹֽורָלֹ֔ות<h><H> <h>,1486,
217285,217286,〔17959｜23｜14｜30〕,<H>שָׁרְשֵׁ֔ךְ<h><H> <h>,8328,שׁרשׁ
498,499,〔26｜1｜1｜26〕,<H>אָדָ֛ם<h><H> <h>,120,אדמ
20310,20311,〔1092｜1｜37｜8〕,<H>חֲלֹמֹתָ֖יו<h><H> <h>,2472,חלמ
14298,14299,〔765｜1｜27｜37〕,<H>דָגָ֥ן<h><H> <h>,1715,
407587,407588,〔11226｜14｜2｜14〕,<H>נְּחֹ֨שֶׁת<h><H> <h>,5178,נחשׁ
168224,168225,〔8366｜10｜14｜9〕,<H>מֶּ֥לֶךְ<h><H> <h>,4428,מלכ
365511,365512,〔12706｜17｜1｜3〕,<H>מְּדִינֹ֖ות<h><H> <h>,4082,דין דונ
278231,278232,〔21149｜26｜27｜27〕,<H>תֹוכֵ֔ךְ<h><H> <h>,8432,תוכ
361482,361483,〔17431｜21｜7｜1〕,<H>יֹ֣ום<h><H> <h>,3117,יומ
366146,366147,〔12731｜17｜2｜6〕,<H>מֶֽלֶךְ<h><H>־<h>,4428,מלכ
422902,422903,〔11870｜14｜31｜15〕,<H>כֹּהֲנִ֖ים<h><H> <h>,3548,כהנ
382794,382795,〔12256｜15｜10｜3〕,<H>אֱלֹהֵ֑ינוּ<h><H> <h>,430,אול
184163,184164,〔9072｜11｜9｜20〕,<H>יְבוּסִ֔י<h><H> <h>,2983,
312445,312446,〔14101｜19｜16｜8〕,<H>תָמִ֑יד<h><H> <h>,8548,
230722,230723,〔18722｜23｜53｜10〕,<H>חֵ֥פֶץ<h><H> <h>,2656,חפצ
55718,55719,〔2901｜3｜7｜21〕,<H>שְּׁלָמִ֖ים<h><H> <h>,8002,שׁלמ
192914,192915,〔9449｜11｜20｜40〕,<H>עַבְדְּךָ֗<h><H> <h>,5650,עבד
370654,370655,〔21765｜27｜2｜6〕,<H>פִשְׁרֵ֖הּ<h><H> <h>,6591,
180939,180940,〔8941｜11｜7｜6〕,<H>אָרְכֹּ֔ו<h><H> <h>,753,ארכ
304003,304004,〔22836｜36｜3｜15〕,<H>קִרְבֵּ֔ךְ<h><H> <h>,7130,קרב
180821,180822,〔8935｜11｜6｜38〕,<H>יֶ֣רַח<h><H> <h>,3391,
413014,413015,〔11457｜14｜13｜3〕,<H>חַ֨יִל֙<h><H> <h>,2428,חול חיל
329138,329139,〔15670｜19｜106｜18〕,<H>עֲדָתָ֑ם<h><H> <h>,5712,עוד
225363,225364,〔18412｜23｜38｜21〕,<H>שְּׁחִ֖ין<h><H> <h>,7822,
288226,288227,〔21621｜26｜44｜21〕,<H>כֹּהֵ֑ן<h><H> <h>,3548,כהנ
107397,107398,〔5578｜5｜26｜11〕,<H>אֱלֹהֶ֖יךָ<h><H> <h>,430,אול
65551,65552,〔3381｜3｜22｜11〕,<H>נֶ֨פֶשׁ֙<h><H> <h>,5315,נפשׁ
411055,411056,〔11366｜14｜9｜1〕,<H>בְּשָׂמִ֧ים<h><H> <h>,1314,
97900,97901,〔5134｜5｜7｜22〕,<H>אֱלֹהֶ֜יךָ<h><H> <h>,430,אול
276533,276534,〔21056｜26｜23｜48〕,<H>נָּשִׁ֔ים<h><H> <h>,802,אישׁ
177943,177944,〔8800｜11｜2｜29〕,<H>מֶּ֣לֶךְ<h><H> <h>,4428,מלכ
371055,371056,〔21785｜27｜2｜26〕,<H>מַלְכָּא֙<h><H> <h>,4430,מלכ
327861,327862,〔15536｜19｜102｜14〕,<H>עֲ֭בָדֶיךָ<h><H> <h>,5650,עבד
309981,309982,〔23115｜39｜2｜11〕,<H>תֹועֵבָ֛ה<h><H> <h>,8441,תעב
39900,39901,〔2072｜2｜20｜20〕,<H>אֱלֹהִ֑ים<h><H> <h>,430,אול
276362,276363,〔21047｜26｜23｜39〕,<H>יֹּ֥ום<h><H> <h>,3117,יומ
89909,89910,〔4720｜4｜32｜1〕,<H>מָּקֹ֖ום<h><H> <h>,4725,קומ
245743,245744,〔19476｜24｜22｜21〕,<H>קֹולִֽי<h><H>׃ <h>,6963,קול
115793,115794,〔5968｜6｜6｜18〕,<H>חֵ֑רֶם<h><H> <h>,2764,חרמ
256202,256203,〔19918｜24｜38｜22〕,<H>בֹּ֛ץ<h><H> <h>,1206,
293880,293881,〔22281｜28｜13｜14〕,<H>קָֽטָבְךָ֙<h><H> <h>,6987,
25572,25573,〔1366｜1｜45｜7〕,<H>אֱלֹהִים֙<h><H> <h>,430,אול
319857,319858,〔14775｜19｜57｜6〕,<H>תֹוכָ֣הּ<h><H> <h>,8432,תוכ
227024,227025,〔18512｜23｜43｜6〕,<H>צָּפֹון֙<h><H> <h>,6828,צפנ
212958,212959,〔17711｜23｜3｜3〕,<H>לָֽחַשׁ<h><H>׃ <h>,3908,לחשׁ
271249,271250,〔20776｜26｜16｜13〕,<H>רִקְמָ֔ה<h><H> <h>,7553,רקמ
227393,227394,〔18538｜23｜44｜4〕,<H>חָצִ֑יר<h><H> <h>,2682,
358176,358177,〔17582｜22｜3｜10〕,<H>עַמּוּדָיו֙<h><H> <h>,5982,עמד
320675,320676,〔14847｜19｜63｜7〕,<H>כְּנָפֶ֣יךָ<h><H> <h>,3671,כנפ
358648,358649,〔17613｜22｜5｜14〕,<H>תַּרְשִׁ֑ישׁ<h><H> <h>,8658,
77840,77841,〔4075｜4｜12｜15〕,<H>יָמִ֑ים<h><H> <h>,3117,יומ
202649,202650,〔9856｜12｜12｜5〕,<H>כֹּ֣הֲנִ֔ים<h><H> <h>,3548,כהנ
68144,68145,〔3525｜3｜25｜55〕,<H>אֱלֹהֵיכֶֽם<h><H>׃ <h>,430,אול
2644,2645,〔141｜1｜6｜3〕,<H>אָדָם֙<h><H> <h>,120,אדמ
111745,111746,〔5781｜5｜32｜22〕,<H>מֹוסְדֵ֥י<h><H> <h>,4146,
285110,285111,〔21484｜26｜40｜6〕,<QR><H>מַֽעֲלֹותָ֑יו<h><H> <h><qr>,4609,
225115,225116,〔18397｜23｜38｜6〕,<H>מֶֽלֶךְ<h><H>־<h>,4428,מלכ
172947,172948,〔8551｜10｜19｜39〕,<H>מְקֹמֹֽו<h><H>׃ ס <h>,4725,קומ
168889,168890,〔8391｜10｜15｜1〕,<H>אִ֖ישׁ<h><H> <h>,376,אנשׁ
217632,217633,〔17980｜23｜16｜10〕,<H>יַ֗יִן<h><H> <h>,3196,יינ
53699,53700,〔2805｜3｜4｜9〕,<H>כְּלָיֹ֔ת<h><H> <h>,3629,
212469,212470,〔17682｜23｜1｜27〕,<H>מִשְׁפָּ֣ט<h><H> <h>,4941,שׁפט
381251,381252,〔12191｜15｜7｜17〕,<H>דִּכְרִין֙<h><H> <h>,1798,
52078,52079,〔2722｜2｜40｜14〕,<H>כֻּתֳּנֹֽת<h><H>׃ <h>,3801,
334370,334371,〔16243｜19｜139｜3〕,<H>דְּרָכַ֥י<h><H> <h>,1870,דרכ
68902,68903,〔3569｜3｜26｜44〕,<H>אֶ֣רֶץ<h><H> <h>,776,ארצ
106879,106880,〔5553｜5｜25｜5〕,<H>ח֖וּצָה<h><H> <h>,2351,חוצ
105490,105491,〔5482｜5｜22｜11〕,<H>פִשְׁתִּ֖ים<h><H> <h>,6593,
71441,71442,〔3727｜4｜3｜34〕,<H>מָאתָֽיִם<h><H>׃ <h>,3967,
164586,164587,〔8210｜10｜7｜29〕,<H>עַבְדְּךָ֖<h><H> <h>,5650,עבד
271360,271361,〔20782｜26｜16｜19〕,<H>שֶׁ֤מֶן<h><H> <h>,8081,שׁמנ
349689,349690,〔16696｜20｜11｜7〕,<H>אֹונִ֣ים<h><H> <h>,205,אינ
58520,58521,〔3037｜3｜11｜39〕,<H>אָכְלָ֑ה<h><H> <h>,402,
288686,288687,〔21641｜26｜45｜10〕,<H>צֶ֧דֶק<h><H> <h>,6664,צדק
299197,299198,〔22566｜32｜3｜7〕,<H>אָדָ֨ם<h><H> <h>,120,אדמ
171692,171693,〔8503｜10｜18｜24〕,<H>חֹומָ֔ה<h><H> <h>,2346,
124771,124772,〔6401｜6｜21｜19〕,<H>כֹּֽהֲנִ֑ים<h><H> <h>,3548,כהנ
52534,52535,〔2748｜3｜1｜2〕,<H>קָרְבָּ֖ן<h><H> <h>,7133,קרב
371161,371162,〔21789｜27｜2｜30〕,<H>רַעְיֹונֵ֥י<h><H> <h>,7476,
182644,182645,〔9013｜11｜8｜27〕,<H>אֱלֹהִ֖ים<h><H> <h>,430,אול
90785,90786,〔4768｜4｜33｜7〕,<H>מִגְדֹּֽל<h><H>׃ <h>,4024,
112891,112892,〔5851｜5｜34｜11〕,<H>אֶ֣רֶץ<h><H> <h>,776,ארצ
240271,240272,〔19225｜24｜10｜23〕,<H>דַּרְכֹּ֑ו<h><H> <h>,1870,דרכ
194791,194792,〔9536｜12｜1｜2〕,<H>בַ֤עַל<h><H> <h>,1167,בעל
420159,420160,〔11757｜14｜27｜1〕,<H>שֵׁ֣ם<h><H> <h>,8034,שׂום שׂימ
114214,114215,〔5906｜6｜3｜12〕,<H>אִישׁ<h><H>־<h>,376,אנשׁ
127423,127424,〔6509｜6｜24｜32〕,<H>מֵאָ֣ה<h><H> <h>,3967,
74212,74213,〔3870｜4｜7｜19〕,<H>שְׁלֹשִׁ֣ים<h><H> <h>,7970,שׁלשׁ
253765,253766,〔19826｜24｜35｜2〕,<H>לְּשָׁכֹ֑ות<h><H> <h>,3957,
72891,72892,〔3802｜4｜5｜9〕,<H>כֹּהֵ֖ן<h><H> <h>,3548,כהנ
39710,39711,〔2060｜2｜20｜8〕,<H>יֹ֥֨ום<h><H> <h>,3117,יומ
23628,23629,〔1266｜1｜42｜13〕,<H>אַחִ֧ים<h><H>׀ <h>,251,
353105,353106,〔17056｜20｜23｜11〕,<H>רִיבָ֣ם<h><H> <h>,7379,ריב רוב
187198,187199,〔9202｜11｜13｜17〕,<H>לֶ֔חֶם<h><H> <h>,3899,לחמ
52271,52272,〔2732｜2｜40｜24〕,<H>אֹ֣הֶל<h><H> <h>,168,אהל
411534,411535,〔11386｜14｜9｜21〕,<H>זָהָ֣ב<h><H> <h>,2091,זהב
74114,74115,〔3863｜4｜7｜12〕,<H>יֹּ֥ום<h><H> <h>,3117,יומ
111970,111971,〔5800｜5｜32｜41〕,<H>חַרְבִּ֔י<h><H> <h>,2719,חרב
63503,63504,〔3261｜3｜18｜9〕,<H>מֹולֶ֣דֶת<h><H> <h>,4138,ילד
329212,329213,〔15678｜19｜106｜26〕,<H>יָדֹ֣ו<h><H> <h>,3027,יוד
339069,339070,〔13135｜18｜12｜6〕,<H>יָדֹֽו<h><H>׃ <h>,3027,יוד
332397,332398,〔16041｜19｜119｜142〕,<H>עֹולָ֑ם<h><H> <h>,5769,עלמ
360140,360141,〔17361｜21｜3｜1〕,<H>חֵ֖פֶץ<h><H> <h>,2656,חפצ
14667,14668,〔783｜1｜28｜9〕,<H>אִשָּֽׁה<h><H>׃ ס <h>,802,אישׁ
333724,333725,〔16180｜19｜135｜4〕,<H>סְגֻלָּתֹֽו<h><H>׃ <h>,5459,
48610,48611,〔2540｜2｜35｜8〕,<H>שֶׁ֖מֶן<h><H> <h>,8081,שׁמנ
222615,222616,〔18258｜23｜31｜7〕,<H>יְדֵיכֶ֖ם<h><H> <h>,3027,יוד
67871,67872,〔3509｜3｜25｜39〕,<H>עֲבֹ֥דַת<h><H> <h>,5656,עבד
155049,155050,〔7801｜9｜22｜13〕,<H>לֶ֣חֶם<h><H> <h>,3899,לחמ
202545,202546,〔9850｜12｜11｜20〕,<H>אָ֖רֶץ<h><H> <h>,776,ארצ
420831,420832,〔11786｜14｜28｜21〕,<H>עֶזְרָ֖ה<h><H> <h>,5833,
333158,333159,〔16124｜19｜127｜2〕,<H>לֶ֣חֶם<h><H> <h>,3899,לחמ
35954,35955,〔1878｜2｜13｜10〕,<H>חֻקָּ֥ה<h><H> <h>,2708,
317982,317983,〔14607｜19｜45｜9〕,<H>שֵׁגַ֥ל<h><H> <h>,7694,שׁגל
71398,71399,〔3724｜4｜3｜31〕,<H>עֲבֹדָתֹֽו<h><H>׃ <h>,5656,עבד
66277,66278,〔3422｜3｜23｜19〕,<H>שְׁלָמִֽים<h><H>׃ <h>,8002,שׁלמ
163738,163739,〔8173｜10｜6｜15〕,<H>קֹ֥ול<h><H> <h>,6963,קול
45125,45126,〔2364｜2｜29｜27〕,<H>תְּנוּפָ֗ה<h><H> <h>,8573,נופ
241747,241748,〔19298｜24｜14｜4〕,<H>רֹאשָֽׁם<h><H>׃ <h>,7218,ראשׁ
218586,218587,〔18030｜23｜19｜25〕,<H>יָדַי֙<h><H> <h>,3027,יוד
300814,300815,〔22647｜33｜5｜13〕,<H>קִּרְבֶּ֑ךָ<h><H> <h>,7130,קרב
83519,83520,〔4362｜4｜21｜21〕,<H>מֶֽלֶךְ<h><H>־<h>,4428,מלכ
296417,296418,〔22420｜30｜4｜9〕,<H>גָּזָ֑ם<h><H> <h>,1501,
368226,368227,〔12805｜17｜6｜11〕,<H>סּ֔וּס<h><H> <h>,5483,סוס
337091,337092,〔12931｜18｜3｜26〕,<H>רֹֽגֶז<h><H>׃ פ <h>,7267,רגז
52612,52613,〔2751｜3｜1｜5〕,<H>אֹ֥הֶל<h><H> <h>,168,אהל
378962,378963,〔12091｜15｜2｜63〕,<H>קֳּדָשִׁ֑ים<h><H> <h>,6944,קדשׁ
283252,283253,〔21401｜26｜37｜3〕,<H>אֲדֹנָ֥י<h><H> <h>,136,אדנ
407953,407954,〔11241｜14｜3｜11〕,<H>כָּנָ֤ף<h><H> <h>,3671,כנפ
247803,247804,〔19571｜24｜25｜36〕,<H>קֹ֚ול<h><H> <h>,6963,קול
97961,97962,〔5137｜5｜7｜25〕,<H>כֶּ֨סֶף<h><H> <h>,3701,כספ
111886,111887,〔5794｜5｜32｜35〕,<H>רַגְלָ֑ם<h><H> <h>,7272,רגל
385992,385993,〔12406｜16｜6｜4〕,<H>פְּעָמִ֑ים<h><H> <h>,6471,פעמ
153034,153035,〔7716｜9｜19｜9〕,<H>יָדֹ֑ו<h><H> <h>,3027,יוד
407966,407967,〔11242｜14｜3｜12〕,<H>כְנַ֨ף<h><H> <h>,3671,כנפ
69103,69104,〔3579｜3｜27｜8〕,<H>כֹּהֵ֔ן<h><H> <h>,3548,כהנ
82436,82437,〔4309｜4｜19｜19〕,<H>יֹּ֥ום<h><H> <h>,3117,יומ
118888,118889,〔6088｜6｜10｜23〕,<H>מֶ֣לֶךְ<h><H> <h>,4428,מלכ
190814,190815,〔9365｜11｜18｜23〕,<H>אֵ֖שׁ<h><H> <h>,784,אשׁ
184847,184848,〔9102｜11｜10｜22〕,<H>כֶ֔סֶף<h><H> <h>,3701,כספ
12364,12365,〔657｜1｜24｜65〕,<H>עֶ֗בֶד<h><H> <h>,5650,עבד
299568,299569,〔22582｜33｜1｜2〕,<H>אֲדֹנָ֨י<h><H> <h>,136,אדנ
342527,342528,〔13499｜18｜27｜17〕,<H>כֶ֗סֶף<h><H> <h>,3701,כספ
103668,103669,〔5397｜5｜18｜12〕,<H>אֱלֹהֶ֔יךָ<h><H> <h>,430,אול
425473,425474,〔11972｜14｜35｜5〕,<H>אֲחֵיכֶ֖ם<h><H> <h>,251,
326673,326674,〔15424｜19｜92｜12〕,<H>תָּמָ֣ר<h><H> <h>,8558,
219713,219714,〔18098｜23｜24｜2〕,<H>שִּׁפְחָ֖ה<h><H> <h>,8198,
384202,384203,〔12327｜16｜2｜19〕,<H>עֶ֣בֶד<h><H> <h>,5650,עבד
218953,218954,〔18052｜23｜21｜16〕,<H>אֲדֹנָ֖י<h><H> <h>,136,אדנ
398177,398178,〔10746｜13｜12｜25〕,<H>אֲלָפִ֖ים<h><H> <h>,505,אלפ
305170,305171,〔22887｜38｜1｜8〕,<H>שְׂרֻקִּ֖ים<h><H> <h>,8320,שׁרק
